CalendarDate,DateKey,Year,Quarter,Month,MonthName,Week,Day,DayName,Weekend
2021-01-01,20210101,2021,1,1,January,53,1,Friday,False
2021-01-02,20210102,2021,1,1,January,53,2,Saturday,True
2021-01-03,20210103,2021,1,1,January,53,3,Sunday,True
2021-01-04,20210104,2021,1,1,January,1,4,Monday,False
2021-01-05,20210105,2021,1,1,January,1,5,Tuesday,False
2021-01-06,20210106,2021,1,1,January,1,6,Wednesday,False
2021-01-07,20210107,2021,1,1,January,1,7,Thursday,False
2021-01-08,20210108,2021,1,1,January,1,8,Friday,False
2021-01-09,20210109,2021,1,1,January,1,9,Saturday,True
2021-01-10,20210110,2021,1,1,January,1,10,Sunday,True
2021-01-11,20210111,2021,1,1,January,2,11,Monday,False
2021-01-12,20210112,2021,1,1,January,2,12,Tuesday,False
2021-01-13,20210113,2021,1,1,January,2,13,Wednesday,False
2021-01-14,20210114,2021,1,1,January,2,14,Thursday,False
2021-01-15,20210115,2021,1,1,January,2,15,Friday,False
2021-01-16,20210116,2021,1,1,January,2,16,Saturday,True
2021-01-17,20210117,2021,1,1,January,2,17,Sunday,True
2021-01-18,20210118,2021,1,1,January,3,18,Monday,False
2021-01-19,20210119,2021,1,1,January,3,19,Tuesday,False
2021-01-20,20210120,2021,1,1,January,3,20,Wednesday,False
2021-01-21,20210121,2021,1,1,January,3,21,Thursday,False
2021-01-22,20210122,2021,1,1,January,3,22,Friday,False
2021-01-23,20210123,2021,1,1,January,3,23,Saturday,True
2021-01-24,20210124,2021,1,1,January,3,24,Sunday,True
2021-01-25,20210125,2021,1,1,January,4,25,Monday,False
2021-01-26,20210126,2021,1,1,January,4,26,Tuesday,False
2021-01-27,20210127,2021,1,1,January,4,27,Wednesday,False
2021-01-28,20210128,2021,1,1,January,4,28,Thursday,False
2021-01-29,20210129,2021,1,1,January,4,29,Friday,False
2021-01-30,20210130,2021,1,1,January,4,30,Saturday,True
2021-01-31,20210131,2021,1,1,January,4,31,Sunday,True
2021-02-01,20210201,2021,1,2,February,5,1,Monday,False
2021-02-02,20210202,2021,1,2,February,5,2,Tuesday,False
2021-02-03,20210203,2021,1,2,February,5,3,Wednesday,False
