CustomerCode,CustomerName,City,State,Industry,Segment,CreditLimit,RiskScore
CUST00001,Olsen Inc,New Brianshire,OR,Retail,Medium,10000,72
CUST00002,Taylor-Hall,Robertsonton,IL,Retail,Medium,25000,76
CUST00003,Middleton-Simon,North Rita,MH,Construction,Medium,10000,18
CUST00004,Sims-Thompson,Frankville,IN,Healthcare,Enterprise,50000,79
CUST00005,Thomas LLC,West Cheyenneside,AZ,Manufacturing,Small,100000,59
CUST00006,Brewer-Gutierrez,New Susan,WI,Retail,Small,100000,98
CUST00007,"Carlson, Gomez and Harris",East Andrewview,MI,Healthcare,Small,50000,10
CUST00008,Johnston-Wright,New Rachelton,WV,Government,Enterprise,25000,95
CUST00009,Bird LLC,Melindaborough,CT,Manufacturing,Medium,25000,11
CUST00010,Baird and Sons,Brownshire,OK,Manufacturing,Enterprise,10000,19
CUST00011,"Stuart, Kelly and Anderson",Danielleburgh,FM,Healthcare,Small,100000,5
CUST00012,Mitchell and Sons,Port Markstad,IN,Construction,Enterprise,50000,60
CUST00013,Burch and Sons,East Margaret,SC,Manufacturing,Medium,10000,24
CUST00014,Madden Ltd,Sarahfort,WI,Manufacturing,Medium,10000,48
CUST00015,Gilbert-Hill,Kevinchester,OK,Education,Enterprise,50000,61
CUST00016,Ferguson-Doyle,Sullivanmouth,MN,Construction,Small,25000,60
CUST00017,Lee LLC,Haleyburgh,OK,Manufacturing,Small,50000,25
CUST00018,Guerrero-Gomez,Mccartyport,ME,Manufacturing,Enterprise,100000,77
CUST00019,Donovan and Sons,Austinside,GA,Education,Enterprise,100000,28
CUST00020,Davis PLC,Johnshire,VT,Healthcare,Enterprise,50000,1
CUST00021,"Rice, Obrien and Durham",Port Jaimeborough,ND,Retail,Medium,25000,1
CUST00022,Smith-Howell,Richardfort,SD,Government,Medium,10000,62
CUST00023,Smith-Valdez,Hicksmouth,IA,Healthcare,Enterprise,25000,26
CUST00024,Brown Group,South Jessicaton,MH,Manufacturing,Small,25000,11
CUST00025,Mason-May,West Michael,FM,Construction,Enterprise,50000,77
CUST00026,Hughes-Melendez,West Rebeccafurt,UT,Healthcare,Enterprise,25000,60
CUST00027,Gates-Ingram,Frankmouth,ID,Healthcare,Enterprise,50000,96
CUST00028,Stevens Inc,West Earl,MO,Construction,Enterprise,100000,71
CUST00029,"Anderson, Bailey and Murray",New Monique,UT,Retail,Medium,100000,98
CUST00030,Davis-Garrett,Timshire,MN,Construction,Medium,10000,35
CUST00031,Barnes-Price,Port Heather,DE,Retail,Medium,100000,31
CUST00032,Anderson-Ramirez,South Susanberg,MP,Education,Enterprise,25000,63
CUST00033,"Carter, Hoffman and Newman",Jacquelinemouth,MA,Healthcare,Small,25000,11
CUST00034,"Giles, Wang and Willis",Campbellfurt,IL,Government,Small,10000,20
CUST00035,Walton Ltd,West Heathertown,CA,Healthcare,Enterprise,10000,35
CUST00036,"Lewis, Clark and Stevens",Port Michaelstad,AS,Healthcare,Small,25000,99
CUST00037,Rios and Sons,Davisberg,MO,Retail,Medium,10000,91
CUST00038,"Smith, Schultz and Lane",Michaelshire,MO,Manufacturing,Enterprise,10000,80
CUST00039,"Flores, Stewart and Richards",Samueltown,MD,Healthcare,Enterprise,50000,87
CUST00040,Thomas Inc,Hansenmouth,WA,Healthcare,Enterprise,25000,12
CUST00041,Allen Inc,New Philip,AR,Healthcare,Enterprise,100000,62
CUST00042,Marks Inc,East Adamhaven,WV,Manufacturing,Medium,100000,8
CUST00043,Larsen-Hunt,North Royport,HI,Manufacturing,Small,25000,25
CUST00044,"Flores, Coleman and Snyder",Williamsborough,OK,Retail,Small,50000,57
CUST00045,Castro Group,Jessicaport,FM,Manufacturing,Enterprise,10000,76
CUST00046,Baker Group,Oliverburgh,AL,Retail,Small,10000,75
CUST00047,Mccarthy-Smith,Lake Nathan,MO,Construction,Enterprise,25000,28
CUST00048,"Horton, Morrison and Hall",Bellburgh,WA,Healthcare,Enterprise,10000,23
CUST00049,"Fox, Hoffman and Jordan",Brandiberg,HI,Government,Small,10000,64
CUST00050,Lawson-Sanchez,Murphybury,PR,Education,Medium,100000,72
CUST00051,Holloway-Gray,Simonhaven,AL,Construction,Enterprise,10000,4
CUST00052,Roberts PLC,Westfurt,ME,Retail,Enterprise,100000,50
CUST00053,Chang-Carrillo,Port Carriestad,FL,Manufacturing,Small,25000,79
CUST00054,Smith PLC,West Samuelstad,PW,Retail,Medium,100000,68
CUST00055,Delgado Inc,Danielborough,FM,Retail,Enterprise,10000,81
CUST00056,Carlson Inc,West John,AK,Education,Small,10000,86
CUST00057,Ford-Moody,Tracyland,OH,Retail,Small,100000,59
CUST00058,"Baker, Cox and Harrison",Jenniferville,NE,Retail,Enterprise,100000,35
CUST00059,Campbell-Allison,Danielville,AS,Manufacturing,Small,100000,87
CUST00060,Ortiz-Brown,Jamesmouth,OK,Healthcare,Enterprise,10000,21
CUST00061,Cole and Sons,South Carrieland,AK,Manufacturing,Small,10000,36
CUST00062,"Shelton, Stafford and Robinson",South Jeffreyhaven,CT,Retail,Small,25000,30
CUST00063,Wu-Hart,New Daniel,ME,Manufacturing,Enterprise,10000,7
CUST00064,Campbell-Mcbride,East Georgeshire,IA,Retail,Medium,100000,36
CUST00065,Livingston Group,Dayburgh,MO,Retail,Enterprise,10000,92
CUST00066,Grant-Hogan,Juliefurt,AL,Government,Medium,50000,32
CUST00067,Arroyo Inc,Desireeport,LA,Healthcare,Small,100000,23
CUST00068,Berger Inc,Milesberg,FM,Manufacturing,Medium,50000,16
CUST00069,Bowen-Ortiz,Lake Adamhaven,ID,Construction,Medium,100000,46
CUST00070,Taylor-Smith,New Angelica,ID,Construction,Small,100000,55
CUST00071,Koch LLC,Philiptown,MO,Manufacturing,Small,100000,89
CUST00072,Harmon-Gonzalez,Brianbury,SD,Healthcare,Medium,100000,7
CUST00073,"Hernandez, Robertson and Hernandez",Markstad,PR,Healthcare,Small,100000,88
CUST00074,Green and Sons,Robertton,DC,Government,Small,50000,23
CUST00075,Burch PLC,Taylorborough,AZ,Education,Medium,100000,32
CUST00076,"Martin, Lewis and Berry",East Kylefort,WA,Education,Medium,100000,25
CUST00077,Davis and Sons,South Kevin,RI,Retail,Enterprise,25000,76
CUST00078,Harris-Lopez,Port Jasmine,ND,Education,Enterprise,25000,7
CUST00079,Evans-Barnett,Danielview,MD,Construction,Enterprise,10000,66
CUST00080,Parrish and Sons,Cookberg,WY,Government,Enterprise,25000,87
CUST00081,Lambert and Sons,North Edwardberg,MN,Retail,Medium,50000,28
CUST00082,Gray LLC,Escobarview,NV,Government,Small,10000,21
CUST00083,Smith-Floyd,East Briannaport,KS,Education,Small,50000,85
CUST00084,Nelson-Andrews,Morriston,IL,Healthcare,Medium,10000,43
CUST00085,Alvarez Ltd,New Laura,WV,Healthcare,Enterprise,10000,99
CUST00086,Singh and Sons,North Amanda,IA,Government,Enterprise,25000,94
CUST00087,Klein Group,East Juliaside,NC,Healthcare,Enterprise,50000,56
CUST00088,Dorsey-Martin,East Jacqueline,HI,Government,Enterprise,25000,51
CUST00089,Forbes PLC,West Jessicaburgh,CO,Education,Medium,100000,1
CUST00090,Price-Norman,West Rebecca,VI,Healthcare,Small,25000,9
CUST00091,Atkinson PLC,Lambfurt,PR,Retail,Enterprise,25000,50
CUST00092,Estes-Bishop,Port Anthonybury,MD,Construction,Enterprise,25000,78
CUST00093,Smith PLC,Nguyenmouth,GA,Education,Enterprise,100000,86
