WarehouseCode,ProductCode,QuantityOnHand,QuantityAllocated,ReorderPoint,ReorderQuantity
ATL,ELE-0001,493,18,122,50
CHI,ELE-0001,316,10,122,50
DAL,ELE-0001,121,20,122,50
DEN,ELE-0001,270,11,122,50
LAX,ELE-0001,264,10,122,50
MIA,ELE-0001,126,1,122,50
PHX,ELE-0001,179,10,122,50
SEA,ELE-0001,267,12,122,50
ATL,ELE-0002,389,8,69,75
CHI,ELE-0002,469,13,69,75
DAL,ELE-0002,222,10,69,75
DEN,ELE-0002,186,8,69,75
LAX,ELE-0002,271,13,69,75
MIA,ELE-0002,380,11,69,75
PHX,ELE-0002,225,15,69,75
SEA,ELE-0002,335,5,69,75
ATL,SAF-0001,443,13,103,25
CHI,SAF-0001,335,15,103,25
DAL,SAF-0001,413,11,103,25
DEN,SAF-0001,397,2,103,25
LAX,SAF-0001,385,12,103,25
MIA,SAF-0001,226,16,103,25
PHX,SAF-0001,363,2,103,25
SEA,SAF-0001,465,6,103,25
ATL,ELE-0003,267,6,163,75
CHI,ELE-0003,386,13,163,75
DAL,ELE-0003,452,4,163,75
DEN,ELE-0003,129,10,163,75
LAX,ELE-0003,281,0,163,75
MIA,ELE-0003,406,4,163,75
PHX,ELE-0003,431,15,163,75
SEA,ELE-0003,231,15,163,75
ATL,HVA-0001,480,3,142,25
CHI,HVA-0001,234,13,142,25
DAL,HVA-0001,245,4,142,25
DEN,HVA-0001,285,1,142,25
LAX,HVA-0001,333,15,142,25
MIA,HVA-0001,213,1,142,25
PHX,HVA-0001,499,1,142,25
SEA,HVA-0001,494,0,142,25
ATL,HVA-0002,120,12,20,25
CHI,HVA-0002,300,9,20,25
DAL,HVA-0002,454,16,20,25
DEN,HVA-0002,239,12,20,25
LAX,HVA-0002,172,8,20,25
MIA,HVA-0002,192,10,20,25
PHX,HVA-0002,120,16,20,25
SEA,HVA-0002,303,8,20,25
ATL,PWR-0001,282,3,120,100
CHI,PWR-0001,274,17,120,100
DAL,PWR-0001,184,1,120,100
DEN,PWR-0001,169,12,120,100
LAX,PWR-0001,426,15,120,100
MIA,PWR-0001,177,6,120,100
PHX,PWR-0001,415,14,120,100
SEA,PWR-0001,159,18,120,100
ATL,HVA-0003,278,19,164,50
CHI,HVA-0003,364,6,164,50
DAL,HVA-0003,102,5,164,50
DEN,HVA-0003,130,2,164,50
LAX,HVA-0003,272,10,164,50
MIA,HVA-0003,164,8,164,50
PHX,HVA-0003,183,18,164,50
SEA,HVA-0003,218,16,164,50
ATL,HVA-0004,211,17,138,500
CHI,HVA-0004,299,0,138,500
DAL,HVA-0004,359,14,138,500
DEN,HVA-0004,440,0,138,500
LAX,HVA-0004,127,7,138,500
MIA,HVA-0004,363,1,138,500
PHX,HVA-0004,304,7,138,500
SEA,HVA-0004,315,8,138,500
ATL,HVA-0005,192,16,37,500
CHI,HVA-0005,380,18,37,500
DAL,HVA-0005,221,1,37,500
DEN,HVA-0005,191,13,37,500
LAX,HVA-0005,108,16,37,500
MIA,HVA-0005,395,20,37,500
PHX,HVA-0005,484,5,37,500
SEA,HVA-0005,226,6,37,500
ATL,FAS-0001,113,10,120,75
CHI,FAS-0001,487,3,120,75
DAL,FAS-0001,159,5,120,75
DEN,FAS-0001,256,17,120,75
LAX,FAS-0001,113,18,120,75
MIA,FAS-0001,119,12,120,75
PHX,FAS-0001,378,4,120,75
SEA,FAS-0001,343,2,120,75
ATL,PWR-0002,335,15,54,75
CHI,PWR-0002,352,15,54,75
DAL,PWR-0002,294,11,54,75
DEN,PWR-0002,192,2,54,75
LAX,PWR-0002,103,6,54,75
MIA,PWR-0002,482,9,54,75
PHX,PWR-0002,217,5,54,75
SEA,PWR-0002,194,11,54,75
ATL,ELE-0004,334,14,23,75
CHI,ELE-0004,435,5,23,75
DAL,ELE-0004,220,14,23,75
DEN,ELE-0004,426,7,23,75
LAX,ELE-0004,471,20,23,75
MIA,ELE-0004,271,1,23,75
PHX,ELE-0004,138,15,23,75
SEA,ELE-0004,411,2,23,75
ATL,SAF-0002,216,6,49,250
CHI,SAF-0002,475,3,49,250
DAL,SAF-0002,244,10,49,250
DEN,SAF-0002,256,12,49,250
LAX,SAF-0002,123,15,49,250
MIA,SAF-0002,167,16,49,250
PHX,SAF-0002,262,7,49,250
SEA,SAF-0002,134,4,49,250
ATL,FAS-0002,161,18,91,500
CHI,FAS-0002,374,18,91,500
DAL,FAS-0002,130,11,91,500
DEN,FAS-0002,226,20,91,500
LAX,FAS-0002,449,7,91,500
MIA,FAS-0002,468,12,91,500
PHX,FAS-0002,436,15,91,500
SEA,FAS-0002,190,15,91,500
ATL,PWR-0003,318,13,158,75
CHI,PWR-0003,317,14,158,75
DAL,PWR-0003,444,11,158,75
DEN,PWR-0003,174,12,158,75
LAX,PWR-0003,413,7,158,75
MIA,PWR-0003,293,6,158,75
PHX,PWR-0003,465,9,158,75
SEA,PWR-0003,148,18,158,75
ATL,ELE-0005,318,2,96,250
CHI,ELE-0005,309,8,96,250
DAL,ELE-0005,421,10,96,250
DEN,ELE-0005,442,0,96,250
LAX,ELE-0005,312,17,96,250
MIA,ELE-0005,279,17,96,250
PHX,ELE-0005,173,8,96,250
SEA,ELE-0005,472,19,96,250
ATL,FAS-0003,210,7,19,50
CHI,FAS-0003,205,7,19,50
DAL,FAS-0003,444,2,19,50
DEN,FAS-0003,485,13,19,50
LAX,FAS-0003,240,3,19,50
MIA,FAS-0003,496,12,19,50
PHX,FAS-0003,305,10,19,50
SEA,FAS-0003,430,2,19,50
ATL,SAF-0003,400,18,108,25
CHI,SAF-0003,286,13,108,25
DAL,SAF-0003,308,4,108,25
DEN,SAF-0003,148,0,108,25
LAX,SAF-0003,334,9,108,25
MIA,SAF-0003,128,2,108,25
PHX,SAF-0003,111,15,108,25
SEA,SAF-0003,185,17,108,25
ATL,PWR-0004,196,18,160,50
CHI,PWR-0004,230,0,160,50
DAL,PWR-0004,320,4,160,50
DEN,PWR-0004,299,16,160,50
LAX,PWR-0004,449,2,160,50
MIA,PWR-0004,150,3,160,50
PHX,PWR-0004,382,1,160,50
SEA,PWR-0004,295,11,160,50
ATL,SAF-0004,226,11,36,100
CHI,SAF-0004,408,12,36,100
DAL,SAF-0004,151,19,36,100
DEN,SAF-0004,328,5,36,100
LAX,SAF-0004,363,8,36,100
MIA,SAF-0004,221,9,36,100
PHX,SAF-0004,358,9,36,100
SEA,SAF-0004,331,10,36,100
ATL,ELE-0006,212,15,198,75
CHI,ELE-0006,431,11,198,75
DAL,ELE-0006,446,18,198,75
DEN,ELE-0006,237,16,198,75
LAX,ELE-0006,162,11,198,75
MIA,ELE-0006,499,5,198,75
PHX,ELE-0006,273,4,198,75
SEA,ELE-0006,166,16,198,75
ATL,PWR-0005,288,11,172,50
CHI,PWR-0005,210,12,172,50
DAL,PWR-0005,457,14,172,50
DEN,PWR-0005,125,15,172,50
LAX,PWR-0005,127,20,172,50
MIA,PWR-0005,116,13,172,50
PHX,PWR-0005,208,6,172,50
SEA,PWR-0005,424,8,172,50
ATL,HVA-0006,423,1,155,75
CHI,HVA-0006,487,5,155,75
DAL,HVA-0006,209,2,155,75
DEN,HVA-0006,244,9,155,75
LAX,HVA-0006,409,11,155,75
MIA,HVA-0006,179,11,155,75
PHX,HVA-0006,400,6,155,75
SEA,HVA-0006,181,4,155,75
ATL,SAF-0005,450,14,25,100
CHI,SAF-0005,272,12,25,100
DAL,SAF-0005,348,20,25,100
DEN,SAF-0005,292,19,25,100
LAX,SAF-0005,292,20,25,100
MIA,SAF-0005,279,5,25,100
PHX,SAF-0005,324,5,25,100
SEA,SAF-0005,390,18,25,100
ATL,HVA-0007,232,19,107,250
CHI,HVA-0007,499,20,107,250
DAL,HVA-0007,335,18,107,250
DEN,HVA-0007,272,8,107,250
LAX,HVA-0007,125,4,107,250
MIA,HVA-0007,317,16,107,250
PHX,HVA-0007,423,4,107,250
SEA,HVA-0007,243,18,107,250
ATL,HVA-0008,190,6,115,50
CHI,HVA-0008,428,15,115,50
DAL,HVA-0008,450,17,115,50
DEN,HVA-0008,113,20,115,50
LAX,HVA-0008,472,1,115,50
MIA,HVA-0008,455,16,115,50
PHX,HVA-0008,235,7,115,50
SEA,HVA-0008,123,0,115,50
ATL,FAS-0004,363,10,90,75
CHI,FAS-0004,489,9,90,75
DAL,FAS-0004,245,12,90,75
DEN,FAS-0004,177,17,90,75
LAX,FAS-0004,139,1,90,75
MIA,FAS-0004,141,0,90,75
PHX,FAS-0004,344,11,90,75
SEA,FAS-0004,359,0,90,75
ATL,HVA-0009,330,11,112,75
CHI,HVA-0009,253,20,112,75
DAL,HVA-0009,275,1,112,75
DEN,HVA-0009,225,13,112,75
LAX,HVA-0009,390,10,112,75
MIA,HVA-0009,162,3,112,75
PHX,HVA-0009,145,19,112,75
SEA,HVA-0009,456,4,112,75
ATL,SAF-0006,262,16,112,25
CHI,SAF-0006,144,7,112,25
DAL,SAF-0006,210,17,112,25
DEN,SAF-0006,424,14,112,25
LAX,SAF-0006,481,3,112,25
MIA,SAF-0006,201,5,112,25
PHX,SAF-0006,347,9,112,25
SEA,SAF-0006,153,18,112,25
ATL,ELE-0007,256,8,93,500
CHI,ELE-0007,495,12,93,500
DAL,ELE-0007,310,2,93,500
DEN,ELE-0007,490,10,93,500
LAX,ELE-0007,350,18,93,500
