TransactionID,WarehouseCode,ProductCode,TransactionType,Quantity
1,ATL,ELE-0001,Beginning Balance,493
2,CHI,ELE-0001,Beginning Balance,316
3,DAL,ELE-0001,Beginning Balance,121
4,DEN,ELE-0001,Beginning Balance,270
5,LAX,ELE-0001,Beginning Balance,264
6,MIA,ELE-0001,Beginning Balance,126
7,PHX,ELE-0001,Beginning Balance,179
8,SEA,ELE-0001,Beginning Balance,267
9,ATL,ELE-0002,Beginning Balance,389
10,CHI,ELE-0002,Beginning Balance,469
11,DAL,ELE-0002,Beginning Balance,222
12,DEN,ELE-0002,Beginning Balance,186
13,LAX,ELE-0002,Beginning Balance,271
14,MIA,ELE-0002,Beginning Balance,380
15,PHX,ELE-0002,Beginning Balance,225
16,SEA,ELE-0002,Beginning Balance,335
17,ATL,SAF-0001,Beginning Balance,443
18,CHI,SAF-0001,Beginning Balance,335
19,DAL,SAF-0001,Beginning Balance,413
20,DEN,SAF-0001,Beginning Balance,397
21,LAX,SAF-0001,Beginning Balance,385
22,MIA,SAF-0001,Beginning Balance,226
23,PHX,SAF-0001,Beginning Balance,363
24,SEA,SAF-0001,Beginning Balance,465
25,ATL,ELE-0003,Beginning Balance,267
26,CHI,ELE-0003,Beginning Balance,386
27,DAL,ELE-0003,Beginning Balance,452
28,DEN,ELE-0003,Beginning Balance,129
29,LAX,ELE-0003,Beginning Balance,281
30,MIA,ELE-0003,Beginning Balance,406
31,PHX,ELE-0003,Beginning Balance,431
32,SEA,ELE-0003,Beginning Balance,231
33,ATL,HVA-0001,Beginning Balance,480
34,CHI,HVA-0001,Beginning Balance,234
35,DAL,HVA-0001,Beginning Balance,245
36,DEN,HVA-0001,Beginning Balance,285
37,LAX,HVA-0001,Beginning Balance,333
38,MIA,HVA-0001,Beginning Balance,213
39,PHX,HVA-0001,Beginning Balance,499
40,SEA,HVA-0001,Beginning Balance,494
41,ATL,HVA-0002,Beginning Balance,120
42,CHI,HVA-0002,Beginning Balance,300
43,DAL,HVA-0002,Beginning Balance,454
44,DEN,HVA-0002,Beginning Balance,239
45,LAX,HVA-0002,Beginning Balance,172
46,MIA,HVA-0002,Beginning Balance,192
47,PHX,HVA-0002,Beginning Balance,120
48,SEA,HVA-0002,Beginning Balance,303
49,ATL,PWR-0001,Beginning Balance,282
50,CHI,PWR-0001,Beginning Balance,274
51,DAL,PWR-0001,Beginning Balance,184
52,DEN,PWR-0001,Beginning Balance,169
53,LAX,PWR-0001,Beginning Balance,426
54,MIA,PWR-0001,Beginning Balance,177
55,PHX,PWR-0001,Beginning Balance,415
56,SEA,PWR-0001,Beginning Balance,159
57,ATL,HVA-0003,Beginning Balance,278
58,CHI,HVA-0003,Beginning Balance,364
59,DAL,HVA-0003,Beginning Balance,102
60,DEN,HVA-0003,Beginning Balance,130
61,LAX,HVA-0003,Beginning Balance,272
62,MIA,HVA-0003,Beginning Balance,164
63,PHX,HVA-0003,Beginning Balance,183
64,SEA,HVA-0003,Beginning Balance,218
65,ATL,HVA-0004,Beginning Balance,211
66,CHI,HVA-0004,Beginning Balance,299
67,DAL,HVA-0004,Beginning Balance,359
68,DEN,HVA-0004,Beginning Balance,440
69,LAX,HVA-0004,Beginning Balance,127
70,MIA,HVA-0004,Beginning Balance,363
71,PHX,HVA-0004,Beginning Balance,304
72,SEA,HVA-0004,Beginning Balance,315
73,ATL,HVA-0005,Beginning Balance,192
74,CHI,HVA-0005,Beginning Balance,380
75,DAL,HVA-0005,Beginning Balance,221
76,DEN,HVA-0005,Beginning Balance,191
77,LAX,HVA-0005,Beginning Balance,108
78,MIA,HVA-0005,Beginning Balance,395
79,PHX,HVA-0005,Beginning Balance,484
80,SEA,HVA-0005,Beginning Balance,226
81,ATL,FAS-0001,Beginning Balance,113
82,CHI,FAS-0001,Beginning Balance,487
83,DAL,FAS-0001,Beginning Balance,159
84,DEN,FAS-0001,Beginning Balance,256
85,LAX,FAS-0001,Beginning Balance,113
86,MIA,FAS-0001,Beginning Balance,119
87,PHX,FAS-0001,Beginning Balance,378
88,SEA,FAS-0001,Beginning Balance,343
89,ATL,PWR-0002,Beginning Balance,335
90,CHI,PWR-0002,Beginning Balance,352
91,DAL,PWR-0002,Beginning Balance,294
92,DEN,PWR-0002,Beginning Balance,192
93,LAX,PWR-0002,Beginning Balance,103
94,MIA,PWR-0002,Beginning Balance,482
95,PHX,PWR-0002,Beginning Balance,217
96,SEA,PWR-0002,Beginning Balance,194
97,ATL,ELE-0004,Beginning Balance,334
98,CHI,ELE-0004,Beginning Balance,435
99,DAL,ELE-0004,Beginning Balance,220
100,DEN,ELE-0004,Beginning Balance,426
101,LAX,ELE-0004,Beginning Balance,471
102,MIA,ELE-0004,Beginning Balance,271
103,PHX,ELE-0004,Beginning Balance,138
104,SEA,ELE-0004,Beginning Balance,411
105,ATL,SAF-0002,Beginning Balance,216
106,CHI,SAF-0002,Beginning Balance,475
107,DAL,SAF-0002,Beginning Balance,244
108,DEN,SAF-0002,Beginning Balance,256
109,LAX,SAF-0002,Beginning Balance,123
110,MIA,SAF-0002,Beginning Balance,167
111,PHX,SAF-0002,Beginning Balance,262
112,SEA,SAF-0002,Beginning Balance,134
113,ATL,FAS-0002,Beginning Balance,161
114,CHI,FAS-0002,Beginning Balance,374
115,DAL,FAS-0002,Beginning Balance,130
