ProductCode,ProductName,Category,SubCategory,Brand,SupplierCode,UnitCost,UnitPrice,Weight,ReorderPoint,ReorderQuantity,IsActive
ELE-0001,Circuit Breaker,Electrical,,NorthStar,SUP001,51.45,77.12,111.97,122,50,1
ELE-0002,Light Switch,Electrical,,PrimeWorks,SUP018,156.61,196.32,149.25,69,75,1
SAF-0001,Ear Protection,Safety,,ProBuild,SUP008,98.42,127.14,59.98,103,25,1
ELE-0003,Wall Outlet,Electrical,,MasterCraft,SUP011,143.78,177.04,53.25,163,75,1
HVA-0001,Vent Register,HVAC,,MasterCraft,SUP013,162.87,215.62,98.11,142,25,1
HVA-0002,Thermostat,HVAC,,Industrial Plus,SUP016,16.3,23.26,14.38,20,25,1
PWR-0001,Hammer Drill,Power Tools,,PrimeWorks,SUP018,143.03,219.69,33.22,120,100,1
HVA-0003,Air Filter,HVAC,,PrimeWorks,SUP020,35.47,43.06,94.13,164,50,1
HVA-0004,Thermostat,HVAC,,Apex,SUP006,68.26,108.55,146.55,138,500,1
HVA-0005,Blower Motor,HVAC,,PrimeWorks,SUP017,45.56,55.21,113.04,37,500,1
FAS-0001,Wood Screws,Fasteners,,NorthStar,SUP015,111.5,161.93,1.51,120,75,1
PWR-0002,Cordless Drill,Power Tools,,Apex,SUP017,244.5,389.37,147.26,54,75,1
ELE-0004,Extension Cord,Electrical,,ProBuild,SUP001,217.21,315.43,21.75,23,75,1
SAF-0002,Ear Protection,Safety,,NorthStar,SUP016,102.98,161.61,21.0,49,250,1
FAS-0002,Hex Nuts,Fasteners,,Industrial Plus,SUP005,94.52,148.99,135.56,91,500,1
PWR-0003,Angle Grinder,Power Tools,,PrimeWorks,SUP003,223.08,310.79,113.37,158,75,1
ELE-0005,Extension Cord,Electrical,,Apex,SUP012,61.83,96.56,86.46,96,250,1
FAS-0003,Concrete Anchors,Fasteners,,Apex,SUP006,28.01,42.35,127.76,19,50,1
SAF-0003,Ear Protection,Safety,,NorthStar,SUP005,173.81,263.3,48.48,108,25,1
PWR-0004,Angle Grinder,Power Tools,,SafeGuard,SUP007,200.9,310.54,83.97,160,50,1
SAF-0004,Hard Hat,Safety,,Industrial Plus,SUP005,5.84,7.39,103.85,36,100,1
ELE-0006,Circuit Breaker,Electrical,,Industrial Plus,SUP016,159.89,222.86,53.28,198,75,1
PWR-0005,Circular Saw,Power Tools,,Industrial Plus,SUP015,94.48,145.05,51.87,172,50,1
HVA-0006,Air Filter,HVAC,,Industrial Plus,SUP020,148.94,214.18,1.1,155,75,1
SAF-0005,Ear Protection,Safety,,SafeGuard,SUP016,233.93,344.85,104.11,25,100,1
HVA-0007,Blower Motor,HVAC,,MasterCraft,SUP003,77.6,120.54,73.1,107,250,1
HVA-0008,Blower Motor,HVAC,,ProBuild,SUP010,38.23,53.58,148.58,115,50,1
FAS-0004,Wood Screws,Fasteners,,Industrial Plus,SUP001,200.42,250.4,38.26,90,75,1
HVA-0009,Thermostat,HVAC,,Industrial Plus,SUP006,174.2,277.13,25.79,112,75,1
SAF-0006,Ear Protection,Safety,,MasterCraft,SUP005,152.01,225.91,47.6,112,25,1
ELE-0007,Light Switch,Electrical,,ProBuild,SUP007,244.88,373.27,102.76,93,500,1
HVA-0010,Flexible Duct,HVAC,,MasterCraft,SUP014,248.84,390.46,128.08,109,25,1
HVA-0011,Vent Register,HVAC,,PrimeWorks,SUP014,43.42,66.66,93.06,34,250,1
FAS-0005,Concrete Anchors,Fasteners,,NorthStar,SUP004,110.69,152.88,12.16,179,25,1
FAS-0006,Washers,Fasteners,,ProBuild,SUP002,12.94,16.94,26.67,34,100,1
ELE-0008,Electrical Wire,Electrical,,SafeGuard,SUP006,82.03,114.57,70.46,119,50,1
SAF-0007,Safety Vest,Safety,,MasterCraft,SUP005,72.88,107.27,47.34,94,50,1
HVA-0012,Blower Motor,HVAC,,Titan,SUP015,89.79,138.48,117.52,182,25,1
HVA-0013,Vent Register,HVAC,,PrimeWorks,SUP003,78.2,110.35,35.92,56,75,1
SAF-0008,Safety Glasses,Safety,,Titan,SUP005,187.52,299.05,18.23,191,100,1
ELE-0009,Wall Outlet,Electrical,,NorthStar,SUP015,207.01,316.82,135.01,79,50,1
PWR-0006,Cordless Drill,Power Tools,,ProBuild,SUP012,176.58,229.72,105.01,176,50,1
PWR-0007,Impact Driver,Power Tools,,MasterCraft,SUP016,47.55,67.16,80.45,124,500,1
HVA-0014,Vent Register,HVAC,,SafeGuard,SUP013,209.81,312.18,123.46,151,75,1
FAS-0007,Washers,Fasteners,,PrimeWorks,SUP015,39.5,48.06,105.15,196,500,1
HVA-0015,Air Filter,HVAC,,Apex,SUP004,140.14,171.56,46.32,171,100,1
SAF-0009,Safety Vest,Safety,,SafeGuard,SUP006,18.0,26.59,57.62,152,25,1
