PONumber,SupplierCode,ProductCode,WarehouseCode,QuantityOrdered,LeadTimeDays
PO000001,SUP020,ELE-0001,DAL,50,13
PO000002,SUP016,ELE-0003,DEN,75,15
PO000003,SUP002,HVA-0003,DAL,50,16
PO000004,SUP002,HVA-0003,DEN,50,13
PO000005,SUP016,HVA-0003,MIA,50,4
PO000006,SUP004,HVA-0004,LAX,500,5
PO000007,SUP014,FAS-0001,ATL,75,9
PO000008,SUP016,FAS-0001,LAX,75,20
PO000009,SUP002,FAS-0001,MIA,75,11
PO000010,SUP012,PWR-0003,SEA,75,11
PO000011,SUP001,SAF-0003,PHX,25,5
PO000012,SUP020,PWR-0004,MIA,50,12
PO000013,SUP017,ELE-0006,ATL,75,9
PO000014,SUP019,ELE-0006,LAX,75,9
PO000015,SUP020,ELE-0006,SEA,75,12
PO000016,SUP003,PWR-0005,DEN,50,19
PO000017,SUP011,PWR-0005,LAX,50,16
PO000018,SUP010,PWR-0005,MIA,50,4
PO000019,SUP013,HVA-0008,DEN,50,7
PO000020,SUP014,FAS-0005,MIA,25,18
PO000021,SUP015,FAS-0005,PHX,25,6
PO000022,SUP015,ELE-0008,ATL,50,6
PO000023,SUP002,ELE-0008,CHI,50,17
PO000024,SUP013,HVA-0012,DAL,25,18
PO000025,SUP003,SAF-0008,CHI,100,17
PO000026,SUP006,PWR-0006,SEA,50,18
PO000027,SUP018,PWR-0007,DEN,500,16
PO000028,SUP005,HVA-0014,MIA,75,4
PO000029,SUP017,FAS-0007,DEN,500,5
PO000030,SUP006,SAF-0009,DAL,25,10
PO000031,SUP007,SAF-0009,LAX,25,7
PO000032,SUP006,HVA-0017,ATL,500,4
PO000033,SUP008,HVA-0017,CHI,500,15
PO000034,SUP004,SAF-0011,ATL,250,20
PO000035,SUP017,SAF-0011,CHI,250,14
PO000036,SUP016,SAF-0011,LAX,250,11
PO000037,SUP011,ELE-0010,DEN,50,12
PO000038,SUP018,ELE-0010,LAX,50,11
PO000039,SUP015,SAF-0012,LAX,250,15
PO000040,SUP003,SAF-0012,SEA,250,7
PO000041,SUP020,SAF-0013,ATL,25,15
PO000042,SUP005,SAF-0013,DAL,25,11
PO000043,SUP020,SAF-0013,DEN,25,17
PO000044,SUP003,SAF-0013,PHX,25,21
PO000045,SUP003,HVA-0020,PHX,50,6
PO000046,SUP001,HVA-0021,DAL,50,9
PO000047,SUP011,HVA-0022,MIA,25,5
PO000048,SUP016,ELE-0019,PHX,25,14
PO000049,SUP001,FAS-0012,ATL,100,8
PO000050,SUP006,FAS-0013,SEA,500,16
PO000051,SUP018,SAF-0014,ATL,500,12
PO000052,SUP007,SAF-0014,MIA,500,9
PO000053,SUP015,SAF-0014,PHX,500,3
PO000054,SUP009,HVA-0024,ATL,75,11
PO000055,SUP008,HVA-0024,CHI,75,3
PO000056,SUP016,HVA-0024,MIA,75,3
PO000057,SUP018,FAS-0014,CHI,500,4
PO000058,SUP016,FAS-0014,MIA,500,11
PO000059,SUP012,FAS-0015,CHI,25,8
PO000060,SUP009,FAS-0015,MIA,25,19
PO000061,SUP005,PWR-0013,MIA,25,12
PO000062,SUP011,PWR-0013,PHX,25,20
PO000063,SUP010,SAF-0015,DAL,75,4
PO000064,SUP006,SAF-0015,DEN,75,3
PO000065,SUP008,SAF-0015,MIA,75,8
PO000066,SUP006,SAF-0015,SEA,75,5
PO000067,SUP010,FAS-0016,LAX,100,11
PO000068,SUP001,HVA-0026,DAL,100,3
PO000069,SUP005,PWR-0014,DAL,75,21
PO000070,SUP012,ELE-0023,ATL,75,18
PO000071,SUP012,ELE-0023,CHI,75,12
PO000072,SUP020,SAF-0017,ATL,250,15
