ReturnID,OrderNumber,ShipmentID,ProductCode,ReturnDate,QuantityReturned,Reason
1,SO0000003,3,ELE-0013,2025-01-07,12,Damaged
2,SO0000005,5,SAF-0017,2023-11-25,8,Wrong Item
3,SO0000011,11,SAF-0012,2025-07-03,6,Defective
4,SO0000012,12,SAF-0005,2021-12-20,1,Wrong Item
5,SO0000021,21,FAS-0017,2024-06-14,10,Customer Changed Mind
6,SO0000030,30,HVA-0007,2021-10-22,12,Damaged
7,SO0000044,44,FAS-0015,2025-11-30,2,Wrong Item
8,SO0000044,44,FAS-0002,2025-11-06,1,Damaged
9,SO0000048,48,PWR-0007,2022-07-29,3,Shipping Damage
10,SO0000050,50,ELE-0013,2024-06-15,1,Wrong Item
11,SO0000057,57,ELE-0015,2021-05-12,9,Damaged
12,SO0000058,58,FAS-0013,2021-12-04,1,Shipping Damage
13,SO0000064,64,SAF-0007,2021-08-08,2,Defective
14,SO0000065,65,PWR-0011,2025-07-29,3,Shipping Damage
15,SO0000074,74,ELE-0004,2021-07-05,1,Defective
16,SO0000075,75,HVA-0010,2025-08-02,2,Shipping Damage
17,SO0000087,87,HVA-0010,2021-06-10,1,Shipping Damage
18,SO0000095,95,HVA-0021,2025-08-22,1,Damaged
19,SO0000097,97,SAF-0001,2023-03-17,14,Defective
20,SO0000113,113,SAF-0015,2025-12-30,11,Shipping Damage
21,SO0000121,121,FAS-0013,2021-12-20,3,Defective
22,SO0000122,122,HVA-0023,2022-05-07,11,Wrong Item
23,SO0000126,126,FAS-0003,2025-04-13,9,Wrong Item
24,SO0000131,131,FAS-0006,2021-09-18,2,Wrong Item
25,SO0000136,136,PWR-0010,2024-04-21,10,Defective
26,SO0000151,151,PWR-0012,2025-06-03,13,Shipping Damage
27,SO0000160,160,PWR-0013,2024-02-28,7,Shipping Damage
28,SO0000167,167,PWR-0012,2023-04-02,1,Damaged
29,SO0000175,175,ELE-0011,2022-11-10,9,Shipping Damage
30,SO0000182,182,PWR-0009,2021-06-06,4,Defective
31,SO0000183,183,HVA-0010,2021-10-24,5,Shipping Damage
32,SO0000186,186,SAF-0003,2025-11-27,1,Customer Changed Mind
33,SO0000188,188,HVA-0016,2023-07-31,1,Wrong Item
34,SO0000194,194,ELE-0012,2023-08-16,7,Defective
35,SO0000214,214,FAS-0008,2021-11-05,11,Shipping Damage
36,SO0000218,218,FAS-0013,2023-02-28,16,Wrong Item
37,SO0000223,223,SAF-0013,2021-04-07,7,Customer Changed Mind
38,SO0000252,252,HVA-0009,2025-06-04,1,Shipping Damage
39,SO0000254,254,PWR-0012,2021-04-27,9,Wrong Item
40,SO0000255,255,HVA-0017,2022-05-27,7,Customer Changed Mind
41,SO0000271,271,HVA-0027,2022-06-09,5,Customer Changed Mind
42,SO0000271,271,HVA-0019,2022-05-29,1,Wrong Item
43,SO0000275,275,ELE-0023,2022-06-10,5,Damaged
44,SO0000286,286,HVA-0008,2024-01-26,1,Shipping Damage
45,SO0000290,290,FAS-0018,2022-07-26,4,Defective
46,SO0000328,328,ELE-0008,2023-01-20,1,Customer Changed Mind
47,SO0000330,330,ELE-0007,2024-05-22,4,Customer Changed Mind
48,SO0000350,350,SAF-0002,2024-03-20,8,Wrong Item
49,SO0000355,355,HVA-0023,2023-08-25,9,Shipping Damage
50,SO0000358,358,HVA-0024,2021-05-13,19,Wrong Item
51,SO0000359,359,ELE-0012,2021-07-15,1,Defective
52,SO0000361,361,FAS-0015,2021-11-02,3,Defective
53,SO0000365,365,ELE-0017,2025-08-03,7,Shipping Damage
54,SO0000369,369,HVA-0003,2022-02-23,8,Defective
55,SO0000369,369,SAF-0010,2022-02-16,3,Wrong Item
56,SO0000382,382,HVA-0008,2021-08-28,4,Damaged
57,SO0000389,389,ELE-0013,2023-01-21,10,Customer Changed Mind
58,SO0000408,408,ELE-0007,2024-02-29,10,Shipping Damage
59,SO0000414,414,PWR-0007,2025-12-21,4,Customer Changed Mind
60,SO0000420,420,ELE-0012,2025-01-18,12,Defective
61,SO0000428,428,ELE-0021,2025-10-10,1,Shipping Damage
62,SO0000429,429,SAF-0003,2022-06-26,13,Customer Changed Mind
63,SO0000435,435,HVA-0023,2022-08-19,7,Shipping Damage
64,SO0000445,445,PWR-0001,2021-05-18,14,Shipping Damage
65,SO0000446,446,FAS-0010,2024-05-10,2,Wrong Item
66,SO0000453,453,PWR-0001,2021-05-07,13,Customer Changed Mind
67,SO0000454,454,HVA-0020,2023-11-24,9,Shipping Damage
68,SO0000456,456,ELE-0022,2023-11-01,5,Customer Changed Mind
69,SO0000459,459,HVA-0025,2022-08-16,3,Defective
70,SO0000468,468,ELE-0004,2024-01-07,13,Shipping Damage
71,SO0000473,473,HVA-0016,2023-07-05,1,Wrong Item
72,SO0000474,474,HVA-0010,2023-06-02,3,Shipping Damage
73,SO0000476,476,PWR-0001,2024-06-01,1,Shipping Damage
74,SO0000477,477,PWR-0010,2022-12-13,3,Damaged
75,SO0000478,478,ELE-0001,2023-02-21,1,Shipping Damage
76,SO0000486,486,SAF-0005,2024-12-04,2,Wrong Item
77,SO0000490,490,HVA-0018,2025-07-25,9,Defective
78,SO0000508,508,PWR-0007,2025-02-27,3,Wrong Item
79,SO0000516,516,PWR-0002,2023-04-24,4,Customer Changed Mind
80,SO0000523,523,SAF-0001,2023-07-26,1,Damaged
81,SO0000524,524,FAS-0004,2024-05-06,4,Shipping Damage
82,SO0000553,553,ELE-0022,2023-04-15,3,Defective
83,SO0000558,558,FAS-0007,2024-01-29,4,Defective
84,SO0000567,567,HVA-0015,2021-09-09,12,Defective
85,SO0000570,570,ELE-0012,2023-09-08,1,Damaged
86,SO0000571,571,SAF-0003,2025-10-17,3,Damaged
87,SO0000585,585,FAS-0017,2024-10-13,1,Wrong Item
88,SO0000598,598,ELE-0003,2024-10-02,5,Defective
89,SO0000606,606,PWR-0013,2024-05-14,2,Damaged
90,SO0000616,616,HVA-0019,2023-09-14,2,Damaged
91,SO0000618,618,HVA-0026,2023-06-09,8,Damaged
92,SO0000639,639,HVA-0022,2024-10-26,13,Damaged
93,SO0000644,644,ELE-0018,2025-03-07,4,Shipping Damage
94,SO0000650,650,HVA-0015,2024-01-15,5,Shipping Damage
95,SO0000660,660,HVA-0027,2021-07-20,18,Defective
96,SO0000671,671,FAS-0007,2022-09-17,3,Defective
97,SO0000680,680,FAS-0015,2025-07-18,7,Defective
98,SO0000693,693,SAF-0010,2024-09-22,5,Wrong Item
99,SO0000694,694,HVA-0017,2021-04-22,1,Damaged
100,SO0000698,698,HVA-0001,2021-08-29,5,Defective
101,SO0000702,702,PWR-0010,2022-12-14,5,Wrong Item
102,SO0000709,709,SAF-0001,2026-01-23,5,Wrong Item
103,SO0000723,723,HVA-0009,2021-06-06,10,Defective
104,SO0000739,739,HVA-0013,2022-05-28,14,Customer Changed Mind
105,SO0000740,740,PWR-0005,2023-05-27,7,Defective
106,SO0000747,747,FAS-0004,2025-02-12,6,Wrong Item
107,SO0000747,747,SAF-0005,2025-02-27,8,Damaged
108,SO0000777,777,HVA-0009,2022-09-08,4,Damaged
109,SO0000783,783,ELE-0003,2022-06-27,3,Wrong Item
110,SO0000808,808,HVA-0017,2021-09-08,3,Customer Changed Mind
111,SO0000808,808,HVA-0015,2021-09-02,1,Customer Changed Mind
112,SO0000808,808,ELE-0008,2021-09-04,7,Damaged
113,SO0000813,813,HVA-0015,2022-02-14,3,Customer Changed Mind
114,SO0000825,825,ELE-0021,2024-12-14,1,Shipping Damage
115,SO0000828,828,SAF-0012,2022-05-17,3,Customer Changed Mind
116,SO0000837,837,HVA-0019,2024-11-09,3,Defective
117,SO0000845,845,HVA-0020,2021-09-17,1,Wrong Item
118,SO0000847,847,HVA-0003,2021-06-17,2,Customer Changed Mind
119,SO0000849,849,SAF-0009,2024-02-10,18,Shipping Damage
120,SO0000854,854,HVA-0016,2021-10-27,3,Damaged
121,SO0000858,858,HVA-0026,2021-09-30,9,Wrong Item
122,SO0000862,862,SAF-0016,2023-05-18,2,Customer Changed Mind
123,SO0000884,884,SAF-0010,2022-05-04,5,Defective
124,SO0000893,893,PWR-0004,2024-01-22,5,Shipping Damage
125,SO0000894,894,SAF-0006,2021-06-18,12,Defective
126,SO0000900,900,SAF-0015,2022-06-05,3,Wrong Item
127,SO0000901,901,ELE-0020,2024-05-10,5,Shipping Damage
128,SO0000903,903,HVA-0017,2024-06-24,14,Customer Changed Mind
129,SO0000915,915,PWR-0004,2025-11-29,6,Damaged
130,SO0000932,932,ELE-0018,2022-03-23,2,Defective
131,SO0000938,938,HVA-0004,2022-10-29,2,Damaged
132,SO0000938,938,FAS-0002,2022-10-30,1,Damaged
133,SO0000945,945,HVA-0006,2022-06-29,1,Damaged
134,SO0000954,954,FAS-0017,2023-08-07,6,Defective
135,SO0000971,971,FAS-0003,2024-07-15,13,Customer Changed Mind
136,SO0000974,974,PWR-0001,2022-04-28,1,Damaged
137,SO0000975,975,ELE-0020,2023-05-31,1,Damaged
138,SO0000976,976,HVA-0019,2024-10-01,5,Shipping Damage
139,SO0000985,985,PWR-0006,2022-10-01,4,Customer Changed Mind
140,SO0000989,989,HVA-0012,2021-03-06,4,Wrong Item
141,SO0000996,996,ELE-0013,2022-06-10,8,Shipping Damage
142,SO0000997,997,SAF-0009,2025-10-31,8,Damaged
143,SO0001002,1002,ELE-0020,2021-03-08,7,Wrong Item
144,SO0001003,1003,PWR-0007,2021-05-08,11,Shipping Damage
145,SO0001004,1004,FAS-0018,2024-11-15,4,Defective
146,SO0001014,1014,FAS-0013,2025-11-20,7,Damaged
147,SO0001021,1021,ELE-0003,2022-11-27,1,Wrong Item
148,SO0001025,1025,HVA-0008,2022-05-20,1,Damaged
149,SO0001027,1027,HVA-0008,2022-08-06,6,Defective
150,SO0001030,1030,SAF-0011,2023-09-21,3,Wrong Item
151,SO0001032,1032,FAS-0009,2024-08-21,1,Wrong Item
152,SO0001034,1034,PWR-0005,2024-12-18,2,Damaged
