ShipmentID,OrderNumber,WarehouseCode,CarrierCode,ShipDate,DeliveryDate,TransitDays,WeatherDelay,LateDelivery
1,SO0000001,LAX,CAR004,2025-05-12,2025-05-20,8,False,False
2,SO0000002,SEA,CAR002,2024-03-18,2024-03-22,4,False,False
3,SO0000003,DEN,CAR005,2024-12-24,2024-12-25,1,False,False
4,SO0000004,CHI,CAR003,2022-02-24,2022-03-01,5,False,False
5,SO0000005,DEN,CAR001,2023-10-30,2023-11-02,3,False,False
6,SO0000006,DAL,CAR005,2025-12-19,2025-12-23,4,False,False
7,SO0000007,DAL,CAR002,2025-06-23,2025-06-30,7,False,False
8,SO0000008,DAL,CAR002,2025-01-18,2025-01-19,1,False,False
9,SO0000009,SEA,CAR001,2025-03-13,2025-03-14,1,False,False
10,SO0000010,CHI,CAR005,2023-03-16,2023-03-21,5,False,False
11,SO0000011,PHX,CAR002,2025-06-14,2025-06-16,2,False,False
12,SO0000012,LAX,CAR004,2021-11-20,2021-11-25,5,False,False
13,SO0000013,DEN,CAR001,2023-05-25,2023-05-26,1,False,False
14,SO0000014,LAX,CAR005,2025-05-31,2025-06-02,2,False,False
15,SO0000015,DEN,CAR003,2022-04-13,2022-04-18,5,False,False
16,SO0000016,ATL,CAR002,2021-10-15,2021-10-23,8,False,False
17,SO0000017,MIA,CAR004,2021-10-19,2021-10-22,3,False,False
18,SO0000018,ATL,CAR001,2022-11-20,2022-11-24,4,False,False
19,SO0000019,PHX,CAR005,2024-07-27,2024-08-01,5,False,False
20,SO0000020,DEN,CAR003,2024-05-08,2024-05-11,3,False,False
21,SO0000021,DEN,CAR001,2024-05-15,2024-05-21,6,False,False
22,SO0000022,DAL,CAR002,2025-12-18,2025-12-27,9,True,False
23,SO0000023,ATL,CAR001,2024-06-14,2024-06-15,1,False,False
24,SO0000024,SEA,CAR005,2025-03-26,2025-03-30,4,False,False
25,SO0000025,PHX,CAR001,2025-12-14,2025-12-19,5,False,False
26,SO0000026,CHI,CAR002,2021-03-11,2021-03-17,6,True,False
27,SO0000027,CHI,CAR002,2021-09-27,2021-09-28,1,False,False
28,SO0000028,DEN,CAR004,2022-06-20,2022-06-28,8,False,False
29,SO0000029,LAX,CAR004,2023-03-01,2023-03-03,2,False,False
30,SO0000030,DAL,CAR001,2021-09-17,2021-09-24,7,False,False
31,SO0000031,DEN,CAR003,2022-10-19,2022-10-20,1,False,False
32,SO0000032,SEA,CAR004,2025-06-18,2025-06-26,8,False,False
33,SO0000033,DEN,CAR001,2021-11-01,2021-11-02,1,False,False
34,SO0000034,LAX,CAR005,2021-07-27,2021-07-28,1,False,False
35,SO0000035,SEA,CAR002,2024-11-10,2024-11-13,3,False,False
36,SO0000036,DAL,CAR003,2021-05-02,2021-05-10,8,False,False
37,SO0000037,CHI,CAR001,2023-06-17,2023-06-24,7,False,False
38,SO0000038,DEN,CAR004,2024-01-23,2024-01-25,2,False,False
39,SO0000039,ATL,CAR004,2021-12-15,2021-12-16,1,False,False
40,SO0000040,LAX,CAR004,2025-06-20,2025-06-25,5,False,False
41,SO0000041,ATL,CAR005,2024-02-28,2024-03-07,8,False,False
42,SO0000042,CHI,CAR003,2022-08-14,2022-08-18,4,True,False
43,SO0000043,DEN,CAR002,2022-05-15,2022-05-19,4,False,False
44,SO0000044,SEA,CAR005,2025-10-26,2025-10-31,5,False,False
45,SO0000045,ATL,CAR004,2021-08-12,2021-08-13,1,False,False
46,SO0000046,ATL,CAR001,2022-10-28,2022-11-01,4,False,False
47,SO0000047,MIA,CAR001,2021-11-19,2021-11-20,1,False,False
48,SO0000048,ATL,CAR001,2022-06-24,2022-07-02,8,False,False
49,SO0000049,MIA,CAR004,2025-01-24,2025-01-28,4,False,False
50,SO0000050,PHX,CAR001,2024-05-29,2024-06-05,7,False,False
51,SO0000051,PHX,CAR004,2023-06-12,2023-06-15,3,True,False
52,SO0000052,MIA,CAR005,2021-09-29,2021-10-07,8,False,False
53,SO0000053,PHX,CAR005,2021-02-26,2021-03-02,4,False,False
54,SO0000054,DAL,CAR004,2022-05-13,2022-05-15,2,False,False
55,SO0000055,SEA,CAR004,2025-03-04,2025-03-08,4,False,False
56,SO0000056,LAX,CAR004,2021-12-09,2021-12-13,4,False,False
57,SO0000057,DAL,CAR004,2021-04-30,2021-05-03,3,False,False
58,SO0000058,SEA,CAR001,2021-11-08,2021-11-15,7,False,False
59,SO0000059,ATL,CAR004,2025-10-01,2025-10-08,7,False,False
60,SO0000060,ATL,CAR004,2021-08-02,2021-08-03,1,False,False
61,SO0000061,LAX,CAR003,2024-08-03,2024-08-05,2,False,True
62,SO0000062,SEA,CAR003,2021-03-29,2021-03-30,1,False,False
63,SO0000063,DEN,CAR004,2021-04-29,2021-05-02,3,False,False
64,SO0000064,DEN,CAR001,2021-07-17,2021-07-18,1,False,False
65,SO0000065,PHX,CAR004,2025-07-10,2025-07-15,5,False,False
66,SO0000066,DEN,CAR002,2025-04-01,2025-04-05,4,False,False
67,SO0000067,SEA,CAR004,2023-07-21,2023-07-25,4,False,False
68,SO0000068,CHI,CAR004,2022-07-10,2022-07-11,1,False,False
69,SO0000069,MIA,CAR005,2023-01-19,2023-01-21,2,False,False
70,SO0000070,SEA,CAR002,2024-04-03,2024-04-06,3,False,False
71,SO0000071,MIA,CAR004,2023-06-01,2023-06-06,5,False,False
72,SO0000072,MIA,CAR005,2022-02-18,2022-02-25,7,False,False
73,SO0000073,LAX,CAR004,2025-06-09,2025-06-11,2,False,False
74,SO0000074,SEA,CAR005,2021-06-01,2021-06-05,4,False,False
75,SO0000075,DEN,CAR002,2025-07-08,2025-07-16,8,False,False
76,SO0000076,PHX,CAR005,2021-02-05,2021-02-09,4,False,False
77,SO0000077,ATL,CAR001,2025-03-28,2025-04-01,4,False,False
78,SO0000078,PHX,CAR005,2022-07-08,2022-07-11,3,False,False
79,SO0000079,MIA,CAR003,2025-04-08,2025-04-10,2,False,False
80,SO0000080,MIA,CAR005,2023-01-12,2023-01-20,8,False,False
81,SO0000081,PHX,CAR001,2024-12-29,2025-01-04,6,False,False
82,SO0000082,LAX,CAR002,2025-03-20,2025-03-23,3,False,True
83,SO0000083,ATL,CAR001,2025-01-17,2025-01-23,6,False,False
84,SO0000084,SEA,CAR002,2021-05-28,2021-05-31,3,False,False
85,SO0000085,LAX,CAR002,2023-04-16,2023-04-17,1,False,False
86,SO0000086,LAX,CAR001,2022-03-18,2022-03-25,7,False,False
87,SO0000087,DEN,CAR005,2021-05-23,2021-05-25,2,False,False
